Quarter,City,HPI@Assessment Prices,HPI_Lag1,Repo_Rate,Repo_Rate_Lag1,CPI_Inflation,M3_Growth,GDP_Growth
Sep--2014,Indore,89,87,8,8,119.3333333,12.56333333,5.92
Dec--2014,Indore,90,89,8,8,118.8333333,11.27,7.11
Mar--2015,Indore,91,90,7.666666667,8,118.7666667,10.94,7.59
Jun--2015,Indore,92,91,7.416666667,7.666666667,120.7,10.72,8.03
Sep--2015,Indore,92,92,7.25,7.416666667,123.0333333,10.93666667,7.20
Dec--2015,Indore,94,92,6.75,7.25,124.2666667,10.59,9.09
Mar--2016,Indore,95,94,6.75,6.75,123.9333333,10.68,8.68
Jun--2016,Indore,97,95,6.5,6.75,126.6666667,10.31666667,9.67
Sep--2016,Indore,98,97,6.5,6.5,128.4666667,11.23333333,8.58
Dec--2016,Indore,99,98,6.25,6.5,128.2333333,8.233333333,6.29
Mar--2017,Indore,101,99,6.25,6.25,128.2333333,7.56,6.11
Jun--2017,Indore,99,101,6.25,6.25,129.4333333,6.76,5.32
Sep--2017,Indore,97,99,6.083333333,6.25,132.3,6.306666667,6.67
Dec--2017,Indore,99,97,6,6.083333333,134.1333333,8.153333333,8.93
Mar--2018,Indore,100,99,6,6,134.0333333,9.816666667,7.50
JUN--2018,Indore,103,100,6.083333333,6,135.4666667,10.11666667,6.46
SEP--2018,Indore,106,103,6.416666667,6.083333333,137.8666667,10.01333333,6.23
Dec-18,Indore,107,106,6.5,6.416666667,138.6333333,10.19333333,5.72
Mar-19,Indore,109,107,6.333333333,6.5,138.7,10.59333333,5.10
Jun-19,Indore,112,109,5.916666667,6.333333333,141.4,10.11666667,4.30
Sep-19,Indore,115,112,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Indore,116,115,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Indore,117,116,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Indore,116,117,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Indore,115,116,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Indore,115,115,4,4,156.5333333,12.15666667,3.29
Mar-21,Indore,117,115,4,4,156.4,12.37,22.63
Jun-21,Indore,117,117,4,4,159.3,10.7,9.87
Sep-21,Indore,118,117,4,4,162.1,9.59,5.53
